"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3032","Заказ самоката через нижнюю кнопку","test","2026-04-21","passed","2026-04-21","TestOrder","test_order","",""
"","540","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
"","715","Переход по логотипу Самоката","test","2026-04-21","passed","2026-04-21","TestOrder","test_order","",""
"","549","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
"","499","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
"","2972","Заказ самоката через верхнюю кнопку","test","2026-04-21","passed","2026-04-21","TestOrder","test_order","",""
"","508","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
"","535","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
"","546","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
"","542","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
"","812","Переход по логотипу Яндекса","test","2026-04-21","passed","2026-04-21","TestOrder","test_order","",""
"","518","Проверка ответов в FAQ","test","2026-04-21","passed","2026-04-21","TestFAQ","test_faq","",""
